ukprn,he_provider,year,country,students
10007139,University of Worcester,2020/2021,croatia,15
10007167,The University of York,2020/2021,croatia,5
10008071,AA School of Architecture,2020/2021,cyprus_(european_union),5
10007783,The University of Aberdeen,2020/2021,cyprus_(european_union),35
10007849,Abertay University,2020/2021,cyprus_(european_union),5
10007856,Aberystwyth University,2020/2021,cyprus_(european_union),5
10000163,AECC University College,2020/2021,cyprus_(european_union),5
10000291,Anglia Ruskin University,2020/2021,cyprus_(european_union),25
10003212,Hult International Business School Ltd,2020/2021,cyprus_(european_union),5
10007759,Aston University,2020/2021,cyprus_(european_union),15
10007857,Bangor University,2020/2021,cyprus_(european_union),15
10000571,Bath Spa University,2020/2021,cyprus_(european_union),10
10007850,The University of Bath,2020/2021,cyprus_(european_union),115
10007152,University of Bedfordshire,2020/2021,cyprus_(european_union),30
10005343,Queen's University Belfast,2020/2021,cyprus_(european_union),10
